run_id,t_s,bx_ut,by_ut,bz_ut
2342474,84.030,-30.5505,-18.0734,-7.6147
2342474,84.196,-0.1835,-46.0550,-4.0367
2342474,84.364,13.2110,-36.6055,-24.4954
2342474,84.530,7.6147,-7.9817,-41.1009
2342474,84.696,2.4771,15.2294,-38.4404
2342474,84.864,-12.3853,14.7706,-33.0275
2342474,85.030,-29.0826,7.4312,-16.5138
2342474,85.196,-32.2936,5.1376,-6.3303
2342474,85.364,-33.4862,-5.3211,-6.1468
2342474,85.532,-25.6881,-28.8073,12.3853
2342474,85.729,-6.6055,-36.9725,28.6239
2342474,85.897,16.3303,-29.7248,36.4220
2342474,86.063,30.0917,-21.6514,34.4037
2342474,86.229,37.9817,-21.1927,27.2477
2342474,86.397,44.3119,-22.6606,14.1284
2342474,86.563,43.3945,-26.3303,-5.9633
2342474,86.729,27.7982,-30.2752,-26.9725
2342474,86.896,1.8349,-37.9817,-26.1468
2342474,87.063,-10.2752,-44.6789,-7.7064
2342474,87.230,0.3670,-48.4404,17.3395
2342474,87.396,12.9358,-45.3211,25.6881
2342474,87.563,22.2018,-22.4771,40.0917
2342474,87.730,12.3853,13.1193,37.5229
2342474,87.896,-2.0183,14.4954,36.5138
2342474,88.063,-4.9541,3.3028,41.1009
2342474,88.230,5.1376,-14.3119,44.5872
2342474,88.396,6.6055,-35.6881,37.6147
2342474,88.563,-0.0917,-46.5138,26.1468
2342474,88.730,-21.0092,-37.5229,21.5596
2342474,88.896,-12.0183,-19.8165,40.0917
2342474,89.063,-4.1284,0.1835,42.1101
2342474,89.230,-14.1284,21.6514,23.7615
2342474,89.396,-25.9633,22.5688,-8.4404
2342474,89.563,-32.2018,5.3211,9.4495
2342474,89.732,-21.1927,-30.7339,20.4587
2342474,89.938,-13.9450,-42.9358,4.4954
2342474,90.104,-27.7982,-26.7890,-5.8716
2342474,90.271,-34.4954,-2.1101,-2.4771
2342474,90.438,-29.4495,16.3303,1.2844
2342474,90.604,-27.5229,18.9908,0.0917
2342474,90.772,-30.8257,12.8440,-3.3945
2342474,90.938,-33.3027,2.2936,-4.1284
2342474,91.104,-31.3761,-19.2661,0.9174
2342474,91.272,-15.2294,-40.1835,8.3486
2342474,91.438,10.7339,-47.7064,6.6972
2342474,91.604,26.1468,-38.6239,-15.4128
2342474,91.771,17.7982,-25.3211,-32.4771
2342474,91.938,2.8440,-9.4495,-39.1743
2342474,92.104,-10.6422,8.7156,-35.3211
2342474,92.271,-16.2385,3.2110,-33.8532
2342474,92.438,-25.1376,-24.4954,-13.8532
2342474,92.604,-22.4771,-34.2202,6.7890
2342474,92.771,-6.9725,-36.7890,28.9908
2342474,92.940,15.1376,-24.1284,39.9083
2342474,93.106,38.3486,-17.4312,28.2569
2342474,93.273,47.6147,-10.5505,11.6514
2342474,93.440,44.9541,-23.3028,-6.6055
2342474,93.606,31.3761,-32.3853,-21.2844
2342474,93.773,10.1835,-38.0734,-26.4220
2342474,93.942,5.3211,-51.1009,7.0642
2342474,94.156,12.7523,-39.0826,34.3119
2342474,94.322,16.2385,-20.9174,43.1193
2342474,94.489,7.0642,1.5596,43.4862
2342474,94.656,10.9174,16.1468,36.2385
2342474,94.822,-5.0459,16.3303,34.4954
2342474,94.989,-6.9725,-3.0275,41.8349
2342474,95.156,15.5046,-27.8899,40.5505
2342474,95.322,17.3395,-45.9633,25.0459
2342474,95.489,-12.9358,-41.1927,24.5872
2342474,95.656,-17.3395,-24.0367,35.1376
2342474,95.822,-1.9266,-13.2110,44.4037
2342474,95.989,-4.7706,18.5321,32.1101
2342474,96.156,-12.9358,30.7339,9.9083
2342474,96.322,-24.0367,23.3945,5.5046
2342474,96.489,-33.2110,7.5229,-2.7523
2342474,96.655,-30.6422,-20.0000,12.8440
2342474,96.832,-10.3670,-44.9541,4.6789
2342474,96.998,-26.6972,-24.8624,-12.8440
2342474,97.165,-31.9266,10.4587,0.1835
2342474,97.332,-21.4679,25.1376,7.6147
2342474,97.498,-19.8165,28.0734,1.1009
2342474,97.665,-25.8716,21.3761,0.0917
2342474,97.832,-32.4771,8.6239,1.0092
2342474,97.999,-32.3853,-15.7798,0.9174
2342474,98.167,-3.2110,-45.1376,11.3761
2342474,98.347,26.6972,-39.5413,-11.7431
2342474,98.514,14.8624,-27.8899,-32.0183
2342474,98.680,-6.4220,-13.5780,-36.8807
2342474,98.847,-16.6972,-9.3578,-32.6605
2342474,99.014,-28.8991,-10.8257,-16.8807
2342474,99.180,-31.9266,-18.0734,0.0000
2342474,99.347,-24.4954,-29.6330,14.2202
2342474,99.514,-3.8532,-38.9908,26.7890
2342474,99.680,20.6422,-39.8165,24.9541
2342474,99.846,40.5505,-25.8716,18.2569
2342474,100.014,43.3028,-27.6147,5.6881
2342474,100.180,38.9908,-32.7523,-6.1468
2342474,100.347,32.4771,-36.1468,-13.3028
2342474,100.515,20.0000,-43.8532,-13.1193
2342474,100.681,3.8532,-49.5413,-0.8257
2342474,100.848,-0.4587,-41.8349,27.7982
2342474,101.015,18.0734,-29.8165,37.2477
2342474,101.182,32.9358,-27.1560,30.0917
2342474,101.349,43.2110,-25.2294,15.2294
2342474,101.516,46.0550,-22.2936,8.8073
2342474,101.683,44.0367,-26.8807,7.5229
2342474,101.849,43.0275,-27.5229,10.9174
2342474,102.017,43.7615,-25.4128,10.4587
2342474,102.184,44.8624,-24.5872,9.0826
2342474,102.352,45.7798,-20.5505,10.5505
2342474,102.549,46.1468,-19.4495,10.0917
2342474,102.716,46.1468,-18.9908,10.0000
2342474,102.882,47.0642,-15.4128,10.0000
2342474,103.050,46.3303,-12.2018,14.8624
2342474,103.217,42.7523,-10.4587,23.1193
2342474,103.383,42.8440,-9.4495,22.2018
2342474,103.551,41.7431,-11.2844,24.3119
2342474,103.719,39.0826,-15.5963,27.6147
2342474,103.886,35.5963,-17.7982,30.3670
2342474,104.052,25.5963,-25.0459,36.0550
2342474,104.220,21.6514,-27.2477,37.2477
2342474,104.387,21.1927,-27.5229,37.7064
2342474,104.553,25.1376,-24.3119,36.7890
2342474,104.721,26.6055,-21.7431,36.7890
2342474,104.887,33.7615,-18.8073,32.9358
2342474,105.054,38.5321,-17.7064,28.3486
2342474,105.222,42.2018,-22.7523,20.3670
2342474,105.388,41.1009,-32.2018,10.7339
2342474,105.555,28.3486,-44.2202,15.0459
2342474,105.722,15.5046,-41.1927,31.6514
2342474,105.889,18.3486,-23.9450,42.0183
2342474,106.056,27.8899,-1.4679,38.0734
