t,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps,temp_c
7.126,1.0068,-0.0361,0.0615,0.55,0.977,-0.099,25.53
7.151,1.0061,-0.0354,0.0613,0.588,1.084,-0.115,25.57
7.176,1.011,-0.0364,0.0647,0.725,1.046,-0.084,25.54
7.201,1.0039,-0.0334,0.0649,0.656,1.084,0.046,25.55
7.226,1.0068,-0.0361,0.0657,0.641,1.061,-0.13,25.55
7.251,1.0042,-0.0366,0.064,0.618,1.099,-0.176,25.52
7.276,1.0068,-0.0359,0.0662,0.656,1.038,-0.046,25.55
7.301,1.0024,-0.033,0.063,0.679,0.985,-0.084,25.53
7.326,1.0083,-0.0322,0.0664,0.656,0.931,-0.069,25.53
7.351,1.0103,-0.0356,0.063,0.603,1.061,-0.053,25.53
7.376,1.009,-0.0391,0.0652,0.542,1.076,-0.122,25.53
7.401,1.0056,-0.0344,0.0618,0.649,1.031,-0.031,25.53
7.426,1.0093,-0.0359,0.0601,0.534,1.267,0.023,25.54
7.451,1.0056,-0.0403,0.0632,0.527,1.092,-0.061,25.56
7.476,1.0095,-0.0317,0.0613,0.626,1.183,-0.069,25.53
7.501,1.0046,-0.0366,0.0703,0.634,1.092,-0.008,25.55
7.526,1.0095,-0.0366,0.0645,0.634,1.069,-0.115,25.53
7.551,1.0083,-0.031,0.0647,0.58,1.061,-0.038,25.54
7.576,1.0073,-0.0344,0.0581,0.573,1.053,-0.069,25.52
7.601,1.0088,-0.0352,0.064,0.71,1.084,-0.145,25.55
7.626,1.0107,-0.0356,0.0635,0.656,1.115,-0.122,25.53
7.651,1.0051,-0.0374,0.0681,0.588,1.069,-0.122,25.54
7.676,1.0063,-0.0366,0.0642,0.611,0.992,-0.183,25.54
7.701,1.0078,-0.0386,0.0715,0.656,1.0,0.0,25.52
7.726,1.0051,-0.0371,0.0652,0.557,1.221,-0.13,25.53
7.751,1.0076,-0.0352,0.0691,0.725,1.084,-0.031,25.53
7.776,1.0081,-0.0364,0.0623,0.679,1.145,-0.031,25.55
