t,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps,temp_c
7.227,0.9983,0.0049,0.1343,0.603,1.069,-0.076,43.57
7.252,1.0022,0.0046,0.1345,0.588,1.099,-0.137,43.56
7.277,0.9985,0.0068,0.1318,0.565,1.0,-0.069,43.54
7.302,1.0,0.0046,0.1287,0.641,1.0,0.008,43.55
7.327,1.0017,0.0044,0.123,0.687,1.13,-0.069,43.58
7.352,0.9998,0.012,0.1267,0.626,1.107,-0.183,43.55
7.377,0.9978,0.0,0.1248,0.557,1.046,-0.183,43.56
7.402,0.9998,0.0002,0.1277,0.626,1.069,-0.053,43.57
7.427,0.9961,0.0027,0.1284,0.718,0.969,-0.115,43.56
7.452,1.0002,0.0125,0.1277,0.603,1.076,-0.168,43.57
7.477,1.001,0.0056,0.1326,0.595,1.13,-0.183,43.56
7.502,0.9966,0.0044,0.1252,0.611,1.084,-0.061,43.55
7.527,0.9968,0.0054,0.1292,0.649,1.092,-0.13,43.54
7.552,0.9983,0.0063,0.1284,0.695,1.038,-0.183,43.56
7.577,1.0012,0.0046,0.1277,0.641,1.023,-0.053,43.55
7.602,0.9995,0.0076,0.127,0.618,1.046,-0.191,43.57
7.627,0.9956,0.0042,0.1301,0.687,1.137,-0.153,43.55
7.652,0.9998,0.0054,0.1252,0.634,1.061,-0.023,43.55
7.677,0.9939,0.0044,0.1233,0.656,0.992,-0.16,43.55
7.702,0.9978,0.0034,0.1309,0.626,0.977,-0.115,43.55
7.727,1.0012,0.0073,0.1252,0.679,1.069,-0.107,43.53
7.752,0.9951,0.0034,0.1267,0.649,0.985,-0.137,43.56
7.777,0.9963,0.0049,0.1306,0.641,1.107,-0.092,43.53
