t,gz_dps
4.296376,-0.061069
4.301387,-0.068702
4.306376,-0.053435
4.311387,-0.175573
4.316376,-0.145038
4.321387,-0.007634
4.326376,-0.007634
4.331387,-0.083969
4.336376,-0.099237
4.341387,-0.122137
4.346376,-0.083969
4.351387,0.007634
4.356376,-0.038168
4.361387,-0.030534
4.366376,-0.076336
4.371387,-0.099237
4.376376,-0.083969
4.381387,-0.145038
4.386376,-0.137405
4.391387,-0.114504
4.396376,-0.229008
4.401387,-0.167939
4.406376,-0.114504
4.411387,-0.083969
4.416376,-0.053435
4.421387,-0.045802
4.426376,-0.099237
4.431387,-0.091603
4.436376,-0.045802
4.441387,-0.053435
4.446376,-0.053435
4.451387,-0.145038
4.456376,-0.206107
4.461387,-0.137405
4.466376,-0.10687
4.471387,-0.076336
4.476376,-0.061069
4.481387,-0.083969
4.486376,-0.145038
4.491387,-0.091603
4.496376,-0.129771
4.501387,-0.045802
4.506376,0.0
4.511387,-0.053435
4.516376,-0.061069
4.521387,-0.076336
4.526376,0.022901
4.531387,-0.007634
4.536376,-0.10687
4.541387,-0.114504
4.546376,-0.152672
4.551387,-0.091603
4.556376,-0.030534
4.561387,-0.114504
4.566376,-0.145038
4.571387,-0.053435
4.576376,-0.160305
4.581387,-0.091603
4.586376,-0.030534
4.591387,-0.061069
4.596376,-0.083969
4.601387,-0.160305
4.606376,-0.083969
4.611387,0.0
4.616376,-0.030534
4.621387,-0.068702
4.626376,-0.045802
4.631387,-0.099237
4.636376,-0.030534
4.641387,-0.076336
4.646376,-0.061069
4.651387,-0.038168
4.656376,-0.145038
4.661387,-0.137405
4.666376,-0.167939
4.671387,-0.152672
4.676376,-0.145038
4.681387,-0.122137
4.686376,-0.015267
4.691387,-0.145038
4.696376,-0.114504
4.701387,-0.091603
4.706376,-0.206107
4.711387,-0.076336
4.716376,-0.053435
4.721387,-0.129771
4.726376,-0.145038
4.731387,-0.152672
4.736376,-0.083969
4.741387,-0.045802
4.746376,-0.099237
4.751387,-0.091603
4.756376,-0.099237
4.761387,-0.10687
4.766376,-0.053435
4.771387,-0.045802
4.776376,-0.129771
4.781387,-0.137405
4.786376,-0.061069
4.791387,-0.114504
4.796376,-0.137405
4.801387,-0.053435
4.806376,-0.045802
4.811387,-0.175573
4.816376,-0.030534
4.821387,-0.030534
4.826376,-0.083969
4.831387,-0.160305
4.836376,-0.061069
4.841387,-0.076336
4.846376,-0.022901
4.851387,-0.038168
4.856376,-0.038168
4.861387,-0.030534
4.866376,-0.030534
4.871387,-0.030534
4.876376,-0.10687
4.881387,-0.206107
4.886376,-0.137405
4.891387,-0.10687
4.896376,-0.038168
4.901387,-0.183206
4.906376,-0.068702
4.911387,-0.061069
4.916376,0.038168
4.921387,-0.015267
4.926376,-0.099237
4.931387,-0.030534
4.936376,-0.038168
4.941387,-0.091603
4.946376,-0.030534
4.951387,-0.038168
4.956376,-0.038168
4.961387,-0.030534
4.966376,-0.068702
4.971387,0.038168
4.976376,-0.015267
4.981387,-0.076336
4.986376,-0.022901
4.991387,-0.091603
4.996376,-0.076336
5.001387,-0.061069
5.006376,-0.076336
5.011387,-0.137405
5.016376,-0.099237
5.021387,-0.061069
5.026376,0.007634
5.031387,-0.030534
5.036376,-0.022901
5.041387,-0.030534
5.046376,-0.053435
5.051387,-0.076336
5.056376,-0.030534
5.061387,0.045802
5.066376,-0.045802
5.071387,-0.10687
5.076376,-0.183206
5.081387,-0.10687
5.086376,-0.038168
