t,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps,temp_c
8.752,0.9958,-0.0029,0.1838,0.672,1.107,-0.099,42.54
8.777,0.9905,-0.0054,0.1868,0.702,0.901,-0.053,42.53
8.802,0.9907,-0.0039,0.1882,0.71,0.962,-0.137,42.53
8.827,0.9893,-0.0029,0.1824,0.664,1.031,0.0,42.51
8.852,0.9888,-0.0032,0.1812,0.626,1.084,-0.145,42.53
8.877,0.9917,-0.009,0.1858,0.672,1.107,-0.015,42.53
8.902,0.9895,-0.0032,0.1902,0.634,0.916,-0.053,42.52
8.927,0.9951,-0.0054,0.1912,0.695,1.084,-0.023,42.54
8.952,0.9854,-0.0029,0.1924,0.634,1.008,-0.153,42.52
8.977,0.9932,-0.0039,0.1892,0.672,1.092,-0.061,42.53
9.002,0.9922,-0.0015,0.1792,0.672,1.046,-0.008,42.55
9.027,0.9888,-0.0034,0.1829,0.725,1.061,-0.115,42.57
9.052,0.989,-0.0049,0.1829,0.656,1.107,-0.153,42.57
9.077,0.9895,-0.0066,0.1882,0.611,0.954,-0.061,42.55
9.102,0.9912,-0.0046,0.1887,0.649,1.107,-0.191,42.57
9.127,0.9875,-0.0022,0.1853,0.618,1.053,-0.176,42.54
9.152,0.991,-0.0007,0.1909,0.725,1.099,-0.053,42.55
9.177,0.99,-0.0034,0.1914,0.664,1.137,-0.099,42.54
9.202,0.9907,-0.0049,0.1875,0.656,1.076,-0.076,42.52
9.227,0.9929,-0.0027,0.1846,0.611,1.061,-0.046,42.54
9.252,0.989,-0.0012,0.1853,0.573,1.099,-0.13,42.52
9.277,0.991,-0.0083,0.1875,0.672,0.992,-0.122,42.53
9.302,0.991,-0.0017,0.1873,0.626,1.099,-0.107,42.56
9.327,0.9863,-0.0012,0.1819,0.588,1.099,-0.107,42.54
9.352,0.9937,-0.0049,0.1826,0.588,1.092,-0.084,42.54
9.377,0.9885,-0.0024,0.1838,0.687,0.985,-0.069,42.53
9.402,0.9895,0.0005,0.1868,0.534,1.13,-0.069,42.54
9.427,0.9895,-0.0044,0.1843,0.649,1.092,-0.13,42.54
9.452,0.9897,-0.0039,0.177,0.641,1.092,-0.107,42.53
9.477,0.9912,-0.0073,0.1846,0.618,1.053,-0.099,42.56
9.502,0.9929,-0.0034,0.1877,0.611,1.038,-0.046,42.56
9.527,0.9944,-0.0042,0.1838,0.672,1.008,-0.084,42.54
9.552,0.9915,-0.0081,0.1897,0.679,1.168,-0.153,42.54
9.577,0.9905,-0.0046,0.1829,0.618,1.092,-0.168,42.55
