# purpose,attitude fusion experiment
# label,level_static
# sample_hz,50
# duration_s,60
# sda_gpio,21
# scl_gpio,22
# wifi,off
t_ms,label,ax_g,ay_g,az_g,temp_c,gx_dps,gy_dps,gz_dps,mx_raw,my_raw,mz_raw
5140,level_static,-0.033203,0.012939,1.020752,43.698,0.213740,0.931298,-0.122137,222,208,259
5160,level_static,-0.030273,0.017822,1.031494,43.692,0.274809,0.969466,-0.099237,222,208,259
5180,level_static,-0.031494,0.014404,1.027588,43.727,0.267176,0.778626,-0.053435,222,208,259
5200,level_static,-0.030518,0.015869,1.016113,43.709,0.167939,1.038168,-0.083969,223,207,260
5220,level_static,-0.037109,0.016113,1.022705,43.733,0.267176,1.007634,-0.106870,223,207,260
5240,level_static,-0.030762,0.018555,1.026855,43.727,0.305344,0.954198,-0.106870,223,207,260
5260,level_static,-0.036377,0.013428,1.030029,43.715,0.282443,0.870229,-0.137405,223,207,260
5280,level_static,-0.032959,0.016113,1.026611,43.706,0.175573,0.946565,-0.015267,224,208,259
5301,level_static,-0.028809,0.011963,1.017334,43.677,0.198473,1.038168,-0.091603,224,208,259
5320,level_static,-0.031250,0.008789,1.023438,43.706,0.244275,0.862595,-0.022901,224,208,259
5340,level_static,-0.033691,0.014893,1.022949,43.739,0.282443,0.992366,-0.061069,222,208,259
5360,level_static,-0.032471,0.013428,1.021729,43.745,0.297710,0.885496,-0.068702,222,208,259
5380,level_static,-0.029541,0.017822,1.022949,43.730,0.251908,0.977099,-0.076336,222,208,259
5400,level_static,-0.032959,0.014404,1.034668,43.727,0.259542,0.992366,-0.167939,222,208,259
5420,level_static,-0.031250,0.011475,1.030273,43.715,0.229008,0.961832,-0.022901,224,207,260
5440,level_static,-0.029053,0.011230,1.021729,43.721,0.282443,0.969466,-0.061069,224,207,260
5460,level_static,-0.033447,0.014893,1.023926,43.695,0.229008,0.862595,-0.114504,224,207,260
