index,t_s,source_file,gps_lat,gps_lon,gps_alt_m,gps_e_m,gps_n_m,gps_u_m,eskf_lat,eskf_lon,eskf_alt_m,eskf_e_m,eskf_n_m,eskf_u_m,vel_e_mps,vel_n_mps,vel_u_mps,yaw_deg,sigma_e_m,sigma_n_m,sigma_u_m,innovation_xy_m,gps_update_accepted,satellites,hdop
648,750.335,gps_nmea_0002.txt,26.0303715,119.19481066666667,20.6,175.05131617114452,-14.419593529829607,1.2850000000000001,26.03037501653036,119.19481751851804,21.56954768217907,175.73668838689684,-14.028135160860854,2.2545476821790693,1.3767407078000522,-0.4066080295280309,0.41674805380635693,0.0,3.5770802956717644,3.5770802956717644,5.2383374824638524,1.2079599207905345,1,5,2.17
649,751.2570000000001,gps_nmea_0002.txt,26.030370833333336,119.19482133333334,20.1,176.11827407447473,-14.493806523504418,0.7850000000000001,26.030371373290016,119.19482720995079,21.43107267717644,176.70609627155898,-14.433698820844297,2.1160726771764407,1.313602614192259,-0.41306420926389087,0.3280217531367054,0.0,3.531750483883461,3.531750483883461,5.18531618949965,0.892398462321609,1,5,2.17
650,752.307,gps_nmea_0002.txt,26.030374,119.19483083333334,19.4,177.0685334574392,-14.141294803153572,0.0849999999999973,26.030369721892406,119.19483750063478,21.094803533453348,177.73544564064844,-14.617531561830356,1.7798035334533473,1.2402120877293767,-0.3606566100023544,0.21273556444117314,0.0,3.5643713999900997,3.5643713999900997,5.2272161418976,1.2494907893936673,1,5,2.17
651,753.2560000000001,gps_nmea_0002.txt,26.030376999999998,119.19484533333335,20.0,178.51892935767847,-13.807336330825944,0.6849999999999987,26.03037015278128,119.19484793505944,20.92992306832769,178.77917300358155,-14.569565231938453,1.614923068327688,1.212233137441432,-0.2787089241779558,0.15059040312252792,0.0,3.5356166259840336,3.5356166259840336,5.19336774450652,1.2177786511288875,1,5,2.17
652,754.259,gps_nmea_0002.txt,26.0303745,119.19485933333333,20.6,179.91931160348955,-14.085635057501976,1.2850000000000001,26.030369974259127,119.19485983293333,20.94441912138114,179.96928524497164,-14.589438226877329,1.6294191213811409,1.2068255655924112,-0.22419314835365411,0.12746239637947793,0.0,3.5435037691952167,3.5435037691952167,5.203015087440875,0.7672220278569755,1,5,2.17
653,755.3420000000001,gps_nmea_0002.txt,26.030370666666666,119.19487333333333,21.1,181.3196938521435,-14.512359772318607,1.7850000000000001,26.030368794308515,119.19487305051342,21.08754721481374,181.2914041384318,-14.720789728254474,1.7725472148137391,1.209983951090323,-0.2009231302521236,0.12832067856255644,0.0,3.586442558267936,3.586442558267936,5.258602157245212,0.32281259976901383,1,5,2.17
654,756.2909999999999,gps_nmea_0002.txt,26.030375499999998,119.19489033333333,21.6,183.02015801030953,-13.974315566989759,2.285,26.030369952105698,119.19488650897824,21.32068053214273,182.6376180830427,-14.591904335426243,2.005680532142729,1.2513832103991607,-0.1340864009376108,0.14711751723916383,0.0,3.5480550409778653,3.5480550409778653,5.213415913848799,1.102364054119374,1,5,2.17
655,757.2940000000001,gps_nmea_0002.txt,26.030374166666668,119.19490900000001,22.3,184.88733434184815,-14.122741554339386,2.9849999999999994,26.03037059510779,119.19490245117385,21.70547769689749,184.23227291942516,-14.520325669812909,2.3904776968974866,1.3224509430761753,-0.09095242804910529,0.18716798728431328,0.0,3.550007019487876,3.550007019487876,5.215134014243004,1.163435536840825,1,5,2.17
656,758.258,gps_nmea_0002.txt,26.030371833333334,119.19492016666666,22.2,186.00430589534227,-14.3824870329922,2.884999999999998,26.030370492427718,119.19491687667634,21.974719209125674,185.67521703519387,-14.531755963209916,2.659719209125673,1.3577275687382395,-0.07495156988607755,0.2021826749732055,0.0,3.5329877362472537,3.5329877362472537,5.192521922609786,0.5459450323140825,1,5,2.17
657,759.255,gps_nmea_0002.txt,26.030379333333332,119.19492800000002,22.9,186.78785310777707,-13.54759085217313,3.5849999999999973,26.03037304781355,119.1949295921805,22.381330099111256,186.9471146276043,-14.247291713747654,3.0663300991112554,1.3405558500665937,0.0004907991325067834,0.23687209110981777,0.0,3.538789003061638,3.538789003061638,5.1976294227462105,1.0859750121613367,1,5,2.17
658,760.3340000000001,gps_nmea_0002.txt,26.030385333333335,119.19493883333334,23.7,187.87148222688091,-12.879673907122383,4.384999999999998,26.0303773202796,119.19494223899369,22.944414357361246,188.21214124830044,-13.771682968289712,3.6294143573612443,1.3026318728982715,0.0997940001124271,0.2887513315514943,0.0,3.5818095360064697,3.5818095360064697,5.251825841807602,1.4633900598056555,1,5,2.17
659,761.2560000000001,gps_nmea_0002.txt,26.030383666666662,119.19495450000001,24.7,189.43857664748603,-13.065206392495874,5.384999999999998,26.030380012764276,119.19495433185044,23.631699107107355,189.4217571001883,-13.471956945694165,4.316699107107353,1.304432861283766,0.1433476706801337,0.35990882117932993,0.0,3.5326741868463776,3.5326741868463776,5.192096983913617,0.6149916233731866,1,5,2.17
