t_s,pressure_pa,temp_c,baro_h_m,kf_h_m,kf_v_mps,sigma_h_m
28.2,100678.641,31.5,-0.2013481324991062,-0.18509568191168768,0.06177541639648295,0.15466503882880406
28.4,100678.742,31.49,-0.20981086933346438,-0.18385866334748105,0.05189097585986918,0.15466503882892096
28.6,100678.719,31.48,-0.20788371204667921,-0.18379864186389194,0.04271767305197424,0.15466503882900318
28.8,100678.633,31.48,-0.20067781642294058,-0.18287985129862513,0.03593894572376618,0.1546650388290603
29.0,100678.516,31.47,-0.19087443878404553,-0.18024553971719176,0.031890707171210286,0.15466503882910015
29.2,100678.281,31.46,-0.17118386608623526,-0.17306255698926812,0.03260624590143635,0.15466503882912794
29.4,100678.344,31.46,-0.17646261901086646,-0.16951689384909685,0.02996082117790659,0.1546650388291473
29.6,100678.438,31.45,-0.18433884856640326,-0.16976727160552213,0.024410931273636315,0.15466503882916113
29.8,100678.828,31.45,-0.21701675864768788,-0.18052034526288044,0.010510508777826819,0.15466503882917043
30.0,100678.719,31.44,-0.20788371204667921,-0.18725548639458367,0.002653817522175356,0.15466503882917693
30.2,100678.633,31.44,-0.20067781642294058,-0.19090951555391825,-0.0010666442041307187,0.15466503882918145
30.4,100678.664,31.43,-0.20327529099660957,-0.19476758950211584,-0.004306980288523941,0.15466503882918461
30.6,100678.375,31.42,-0.17906009962828318,-0.19065966802961234,0.00011095798523219104,0.1546650388291872
30.8,100678.281,31.42,-0.17118386608623526,-0.18480297631473608,0.005298081010094434,0.15466503882918864
31.0,100678.141,31.41,-0.15945329444527978,-0.17645831695231015,0.011774799555181749,0.15466503882918967
31.2,100678.078,31.41,-0.15417453289797267,-0.16812633145361805,0.01708863388885075,0.1546650388291904
31.4,100678.023,31.41,-0.14956608809617133,-0.1601670818841657,0.021126244132217035,0.1546650388291909
31.6,100678.125,31.4,-0.15811265684963827,-0.15659290355025482,0.020547414296854843,0.15466503882919158
31.8,100678.234,31.4,-0.1672457470758748,-0.15691091736113158,0.016611178208597605,0.15466503882919175
32.0,100678.0,31.4,-0.1476389196668415,-0.15180423724978528,0.018197626543169233,0.15466503882919186
32.2,100678.328,31.39,-0.17512198360042364,-0.15624969986227877,0.011009722497498908,0.15466503882919228
32.4,100678.094,31.39,-0.15551517100546253,-0.15448786064851883,0.010618449858040361,0.1546650388291919
32.6,100678.211,31.39,-0.16531858191449977,-0.1562494399172494,0.007164277413555775,0.1546650388291923
32.8,100678.188,31.39,-0.1633914163987682,-0.15738833626954454,0.004877878769595413,0.1546650388291919
33.0,100678.07,31.38,-0.1535042137802467,-0.1555404331703066,0.005653415519400696,0.1546650388291923
33.2,100678.25,31.38,-0.16858638350017108,-0.15866158651051454,0.0018733489718519647,0.15466503882919255
33.4,100678.188,31.38,-0.1633914163987682,-0.15981785125577583,0.0005122819327387509,0.15466503882919208
33.6,100677.984,31.38,-0.1462982805454982,-0.1556913523542865,0.0040898298221442265,0.15466503882919244
