t_ms,mx_raw,my_raw,mz_raw,mx_cal,my_cal,mz_cal,inlier
16200,156,92,324,76.816523,180.369377,363.637528,1
16251,156,92,324,76.816523,180.369377,363.637528,1
16301,124,134,309,44.945696,221.235904,348.183144,1
16350,98,173,288,19.174844,259.297589,326.601809,1
16400,80,209,262,1.514419,294.556710,299.890668,1
16450,80,209,262,1.514419,294.556710,299.890668,1
16500,74,229,244,-4.220156,314.218089,281.393994,1
16550,73,238,236,-5.084288,323.076882,273.155120,1
16600,80,237,236,1.980194,322.153784,273.097039,1
16650,80,237,236,1.980194,322.153784,273.097039,1
16700,89,229,243,10.943712,314.339853,280.225883,1
16750,109,203,266,30.727780,288.874004,303.741964,1
16800,131,168,288,52.476745,254.667508,326.331521,1
16850,131,168,288,52.476745,254.667508,326.331521,1
16900,155,122,311,76.155900,209.747385,350.053706,1
16950,178,90,320,99.067746,178.630820,359.371873,1
17000,191,57,328,111.879811,146.479433,367.785663,1
17050,191,57,328,111.879811,146.479433,367.785663,1
17100,204,29,332,124.768585,119.248177,372.068830,1
17150,202,-9,342,122.370244,82.091845,382.729574,1
17200,164,-37,353,83.665665,54.402252,394.646454,1
17250,164,-37,353,83.665665,54.402252,394.646454,1
17300,146,-94,359,65.004852,-1.330844,401.633078,1
17350,138,-149,355,56.561740,-54.919465,398.321900,1
17401,136,-187,345,54.364532,-91.829467,388.637439,1
17450,136,-187,345,54.364532,-91.829467,388.637439,1
17500,138,-225,332,56.238511,-128.673333,375.860971,1
17550,130,-266,316,48.018230,-168.475733,360.170239,1
17600,129,-297,299,46.952748,-198.473012,343.268685,1
17650,129,-297,299,46.952748,-198.473012,343.268685,1
17700,153,-304,291,71.228224,-205.018575,334.975458,1
17750,161,-304,288,79.340426,-204.923253,331.843224,1
17800,178,-312,279,96.546884,-212.481748,322.615451,1
17850,178,-312,279,96.546884,-212.481748,322.615451,1
17900,178,-316,278,96.527754,-216.366124,321.647456,1
17950,173,-350,252,91.489877,-249.204258,295.667736,1
18000,173,-350,252,91.489877,-249.204258,295.667736,1
18050,153,-363,246,71.250282,-261.940538,289.925424,1
18100,134,-361,252,52.009708,-260.204724,296.195429,1
18150,124,-371,243,41.924713,-269.908570,287.263819,1
18200,124,-371,243,41.924713,-269.908570,287.263819,1
18250,124,-388,226,41.971637,-286.260130,270.179777,1
18300,126,-401,213,44.028027,-298.749671,257.095395,1
18350,129,-423,188,47.149684,-319.851674,231.904684,1
18400,129,-423,188,47.149684,-319.851674,231.904684,1
18450,123,-454,143,41.314520,-349.540572,186.570126,1
18500,112,-475,105,30.430653,-369.610438,148.283509,1
18550,98,-489,68,16.557043,-382.895299,110.958106,1
18600,98,-489,68,16.557043,-382.895299,110.958106,1
18650,95,-498,39,13.752257,-391.327566,81.598578,1
18700,93,-505,10,11.972317,-397.804190,52.204361,1
18750,91,-509,-14,10.163984,-401.419879,27.859495,1
18800,91,-509,-14,10.163984,-401.419879,27.859495,1
18850,87,-513,-42,6.375369,-405.000894,-0.534298,1
18900,85,-513,-71,4.646505,-404.658307,-30.014731,1
18950,79,-511,-102,-1.088669,-402.371927,-61.514091,1
19000,79,-511,-102,-1.088669,-402.371927,-61.514091,1
19050,74,-509,-113,-6.014723,-400.324582,-72.678303,1
19100,72,-508,-118,-7.977651,-399.303419,-77.756807,1
19150,66,-508,-117,-14.049232,-399.359515,-76.679207,1
19200,66,-508,-117,-14.049232,-399.359515,-76.679207,1
19250,55,-507,-117,-25.154730,-398.465603,-76.580900,1
19300,46,-505,-121,-34.192197,-396.533659,-80.584064,1
19350,26,-494,-166,-53.864465,-385.409442,-126.295122,1
19400,26,-494,-166,-53.864465,-385.409442,-126.295122,1
19450,7,-477,-208,-72.512871,-368.469840,-169.038355,1
19500,-10,-459,-237,-89.264209,-350.701586,-198.589635,1
19550,-30,-436,-272,-108.949487,-328.010458,-234.275889,1
19600,-30,-436,-272,-108.949487,-328.010458,-234.275889,1
19650,-63,-392,-313,-141.554501,-284.882653,-276.193615,1
19700,-93,-348,-341,-171.259490,-241.893072,-304.917128,1
19750,-112,-311,-356,-190.033497,-205.802556,-320.440666,1
19801,-112,-311,-356,-190.033497,-205.802556,-320.440666,1
19850,-121,-294,-363,-198.931346,-189.221068,-327.680358,1
19900,-125,-284,-366,-202.869227,-179.471574,-330.815078,1
19950,-136,-268,-367,-213.855221,-163.952751,-331.918779,1
20000,-136,-268,-367,-213.855221,-163.952751,-331.918779,1
20050,-155,-239,-368,-232.828394,-135.828051,-333.102142,1
20100,-189,-188,-361,-266.875307,-86.479524,-326.267536,1
20150,-228,-134,-338,-306.112509,-34.442025,-303.143433,1
20200,-228,-134,-338,-306.112509,-34.442025,-303.143433,1
20250,-255,-102,-305,-333.487752,-3.871940,-269.696444,1
20300,-275,-84,-279,-353.822970,13.197014,-243.268242,1
20350,-281,-81,-268,-359.973228,15.940273,-232.054989,1
20400,-281,-81,-268,-359.973228,15.940273,-232.054989,1
20450,-283,-85,-262,-362.083263,11.955089,-225.882048,1
20500,-300,-72,-239,-379.394031,24.212017,-202.474214,1
20550,-319,-57,-195,-398.921905,38.144051,-157.708435,1
20600,-319,-57,-195,-398.921905,38.144051,-157.708435,1
20650,-323,-60,-166,-403.276455,34.835167,-128.130713,1
20700,-325,-74,-165,-405.409170,21.169835,-126.920908,1
20750,-325,-74,-165,-405.409170,21.169835,-126.920908,1
20800,-333,-80,-137,-413.816569,14.921563,-98.283269,1
20850,-340,-76,-91,-421.321769,18.200619,-51.468168,1
20900,-338,-84,-52,-419.751844,9.941483,-11.716600,1
20950,-338,-84,-52,-419.751844,9.941483,-11.716600,1
21000,-337,-83,-24,-419.015881,10.578089,16.744313,1
21050,-334,-76,8,-416.255857,17.025061,49.180254,1
21100,-325,-77,47,-407.563078,15.636211,88.775209,1
21150,-325,-77,47,-407.563078,15.636211,88.775209,1
