t_s,innovation_e_m,innovation_n_m,innovation_h_m,hdop,sats
284.739,-1.9887665497322544,0.224175043817338,2.0013612466529977,2.67,5
285.722,0.29928572215523985,0.8137744710161829,0.8670644919287445,2.67,5
285.839,0.04075802341715473,-0.11272523535846624,0.11986740657699632,2.67,5
286.712,0.09009017233638161,-0.3406255944869585,0.3523379553371916,2.67,5
286.827,0.03743431967313171,-0.1455023331815477,0.15024066443764264,2.67,5
287.627,0.047885869129537184,0.20699670078614218,0.21246338648962282,2.67,5
287.846,0.008381874620241092,-0.12143584094212656,0.12172476858663936,2.67,5
288.719,1.5417213089510895,0.18383989315622262,1.552643455784216,2.67,5
288.833,-0.1700871995439499,-0.07407259085590301,0.18551658730369489,2.67,5
289.658,-0.34615225151108575,0.6332005450617668,0.7216400151687214,2.67,5
289.771,-0.05618446364801599,-0.10286450830836902,0.11720836584876418,2.67,5
290.662,-0.09407633378953761,0.09869629593511853,0.13634997400290544,2.67,5
290.777,-0.02155872363211131,-0.07353869122591661,0.07663365887041058,2.67,5
291.725,-0.0037925954536746076,-0.6832562812401015,0.683266807063191,2.67,5
291.944,-0.0034172991787997375,-0.023518024273268878,0.02376500366916634,2.67,5
292.665,1.5528869308286701,-0.4694038240757523,1.6222816555689172,2.67,5
292.781,-0.22804730643347426,0.06430278634156306,0.2369397018290764,2.67,5
293.675,-0.43370138677869363,-0.36797502452363773,0.5687728119090555,2.67,5
293.791,-0.08751070029527597,0.04864928467341212,0.10012430057385821,2.67,5
294.643,1.4283381495712746,-0.8038808706745657,1.6390162670813218,2.67,5
294.758,-0.13636507082271976,0.08234441258731451,0.15929857132076,2.67,5
295.685,-0.33997327131861255,-0.9136424045811742,0.9748457666010295,2.67,5
295.801,-0.07206830452093982,0.09297636759880756,0.11763692213073032,2.66,5
296.645,2.2269175401540195,-0.22947586113590734,2.2387096510020443,2.66,5
296.76,-0.19339407332203962,0.07594551161973939,0.2077714810345116,2.66,5
297.65,-0.5024848276956462,-0.32561056053374493,0.5987597508144838,2.66,5
297.764,-0.09829625783066831,0.05537211034300071,0.11281943497177543,2.66,5
298.738,-0.11837575865219918,0.904654638769824,0.9123666125435785,2.66,5
299.677,-0.035085590967376845,-1.051620257361244,1.0522053812759462,2.66,5
299.794,-0.008575278322645374,0.048815358960501154,0.04956283556005863,2.66,5
300.687,-0.012605169662109006,0.05307866658559979,0.054554881987919475,2.66,5
300.803,-0.002784858349997421,0.015200631189159708,0.015453628201118508,2.66,5
301.647,1.5388268514154646,0.802376064796408,1.735452513898148,2.66,5
