t_s,east_m,north_m,up_m,ve_mps,vn_mps,vu_mps,lat,lon,alt_m,roll_deg,pitch_deg,yaw_deg,bgx_dps,bgy_dps,bgz_dps,bax_mps2,bay_mps2,baz_mps2,sigma_e_m,sigma_n_m
613.456,83.75628437419371,-174.61187012063584,-0.010218792987394676,0.6199022721880446,-0.24428012131436677,-0.029858355499494747,26.028823124882816,119.19388390344241,36.18978120701261,-45.617429987836616,20.84354526982715,22.90401207283001,0.0,0.0,0.0,0.0,0.0,0.0,1.74320438422886,1.74320438422886
613.588,83.83129575847292,-174.6388238257367,-0.011630866556792815,0.5682680627212872,-0.2041947356125051,-0.029990878431011978,26.028822882753566,119.1938846533508,36.18836913344321,-47.74193819839991,20.048839874964028,18.07721496119613,0.0,0.0,0.0,0.0,0.0,0.0,1.8288001691646927,1.8288001691646927
613.722,83.2241656145087,-176.06884547425508,0.0,0.19541057517468033,-1.1187493333641985,-0.02927112783359159,26.02881003665053,119.19387858371223,36.2,-48.45210958277241,17.003155968599092,17.745002093666848,0.0,0.0,0.0,0.0,0.0,0.0,1.4813245048487926,1.4813245048487926
613.995,83.21337296596212,-175.98071584357552,0.0,0.1615803661055334,-0.8347588267135145,-0.02866647188448947,26.02881082833247,119.19387847581531,36.2,-45.787646359521936,6.955438479310742,22.242838581956068,0.0,0.0,0.0,0.0,0.0,0.0,1.3953441885688183,1.3953441885688183
614.228,83.24764668503312,-176.13492464329374,-0.004718133459484549,0.14709750674247815,-0.6618403421383191,-0.02872104396577129,26.028809443051255,119.19387881845863,36.19528186654052,-46.421531533754795,11.327468605251962,15.483608495738814,0.0,0.0,0.0,0.0,0.0,0.0,1.4918394004297315,1.4918394004297315
614.366,83.26773170529836,-176.21411727555721,-0.007091362203361259,0.14554362511049845,-0.5738596540831769,-0.029015351165467804,26.028808731651736,119.19387901925383,36.19290863779664,-46.48438933840129,14.888200130062783,14.175089042070642,0.0,0.0,0.0,0.0,0.0,0.0,1.5648138613335458,1.5648138613335458
614.556,83.29494691701285,-176.30320413669227,-0.009497889180063078,0.14323795639207695,-0.4688782165002611,-0.029150369345223276,26.028807931370846,119.1938792913314,36.19050211081994,-45.461567873033935,16.5259891168758,16.783886521164487,0.0,0.0,0.0,0.0,0.0,0.0,1.686719292740903,1.686719292740903
614.738,83.18260847252839,-176.84253841978054,0.0,0.04472234440067882,-0.8636791089531815,-0.028565274186325533,26.028803086448548,119.19387816825464,36.2,-44.639484306677645,16.58877967834477,20.325479372122363,0.0,0.0,0.0,0.0,0.0,0.0,1.4182581422601708,1.4182581422601708
614.883,83.18513845157106,-176.76191783842717,0.0,0.04561638915614222,-0.734432482064489,-0.028694035509320964,26.02880381067555,119.1938781935475,36.2,-43.53895056742075,20.15025663048735,21.898064024860837,0.0,0.0,0.0,0.0,0.0,0.0,1.316757665448244,1.316757665448244
615.036,83.19373316020062,-176.85811636451106,-0.003524023114128589,0.056174566206274534,-0.6287485364959997,-0.02897463015029597,26.02880294650949,119.19387827947105,36.19647597688587,-45.14780405582293,21.816590505833645,16.263867657860576,0.0,0.0,0.0,0.0,0.0,0.0,1.37114871121103,1.37114871121103
615.178,83.20294754816578,-176.9351026811546,-0.006201791394455625,0.06489005609268743,-0.5421571594615195,-0.029225199771728518,26.02880225492964,119.19387837158969,36.19379820860555,-48.663377661349486,20.807514071039222,10.707484407117596,0.0,0.0,0.0,0.0,0.0,0.0,1.4321329414887094,1.4321329414887094
615.316,83.21294358232144,-176.99960708311738,-0.008345537278745718,0.07243503011344767,-0.46742320262877984,-0.029442565293827362,26.02880167547674,119.19387847152265,36.19165446272126,-49.783839347624934,18.790641886796248,11.221858430253144,0.0,0.0,0.0,0.0,0.0,0.0,1.5016808187237651,1.5016808187237651
615.457,83.22385379369307,-177.05595356456348,-0.010135071731963888,0.0773773856143658,-0.3996204357878586,-0.029621613829021513,26.028801169307684,119.19387858059488,36.18986492826804,-48.50132394696661,14.179956715385028,13.802831567178796,0.0,0.0,0.0,0.0,0.0,0.0,1.5833594929885877,1.5833594929885877
615.597,83.23489515931085,-177.10353550024917,-0.011594218848672557,0.07886689726988516,-0.3398709691835501,-0.029774726314145544,26.028800741871883,119.1938786909783,36.18840578115133,-49.91753816607797,8.871370390681346,13.646098385863327,0.0,0.0,0.0,0.0,0.0,0.0,1.674950165136074,1.674950165136074
615.732,83.17328990704742,-177.6589737240644,0.0,0.0321503354534644,-0.7098836316018919,-0.02907507064814032,26.028795752285426,119.1938780750945,36.2,-52.367343007112396,8.686942532809478,9.92913958887873,0.0,0.0,0.0,0.0,0.0,0.0,1.3858663045781057,1.3858663045781057
615.878,83.18165240379241,-177.5930529723871,0.0,0.044017869044640154,-0.6000999181237425,-0.029111141502493026,26.028796344461615,119.19387815869658,36.2,-53.212196168994836,12.53241941577621,8.441426086414927,0.0,0.0,0.0,0.0,0.0,0.0,1.294702203250627,1.294702203250627
616.028,83.18984149206003,-177.6699157811794,-0.003512747577740013,0.05459392178406569,-0.5124187252819697,-0.029327290585678435,26.028795653991253,119.19387824056503,36.196487252422266,-52.5611751413299,11.900371333044253,9.30427317560162,0.0,0.0,0.0,0.0,0.0,0.0,1.3488298076070313,1.3488298076070313
616.171,83.19887286286303,-177.73263197284842,-0.0062411012307171596,0.0631564391818543,-0.43857476691610353,-0.029520894745667225,26.028795090602117,119.193878330854,36.19375889876929,-50.42335439030344,11.478889888840524,15.363086139634191,0.0,0.0,0.0,0.0,0.0,0.0,1.4099970343845856,1.4099970343845856
616.31,83.2075438689065,-177.78474028975745,-0.008416917646457932,0.062381338442241675,-0.37487997776283016,-0.029691377180792615,26.028794622505142,119.1938784175403,36.191583082353546,-49.31890781992504,9.059791251311779,18.382840949149838,0.0,0.0,0.0,0.0,0.0,0.0,1.4790815100320753,1.4790815100320753
616.445,83.21600458534978,-177.82791263196512,-0.01016427032885352,0.06267197365391602,-0.319795127464143,-0.02984315307860892,26.028794234681396,119.1938785021243,36.18983572967115,-50.03145693472574,11.663416127920733,19.257098048301817,0.0,0.0,0.0,0.0,0.0,0.0,1.5555334420118425,1.5555334420118425
616.587,83.22557925664422,-177.86601574924697,-0.011652202464423328,0.0674272626369815,-0.26833181184392946,-0.029957648970470173,26.028793892395267,119.19387859784479,36.18834779753558,-52.27446271965058,13.720350285021025,16.84551568273089,0.0,0.0,0.0,0.0,0.0,0.0,1.6459217720524237,1.6459217720524237
616.723,83.20060042790917,-177.63569815266965,0.0,0.06895978553180443,-0.18257919027683653,-0.029216318644824584,26.02879596137344,119.19387834812491,36.2,-53.75582588919229,12.07931170913871,13.44392194458794,0.0,0.0,0.0,0.0,0.0,0.0,1.5063710026493904,1.5063710026493904
616.868,83.19280334169478,-177.557082092469,0.0,0.07179644935747495,-0.13077877378956707,-0.02923055403567315,26.028796667593525,119.1938782701754,36.2,-53.65879090391865,9.803677813001284,13.313085379661384,0.0,0.0,0.0,0.0,0.0,0.0,1.4151624543156072,1.4151624543156072
617.019,83.20414938828418,-177.57204445834856,-0.0035426428286367225,0.0751393813866892,-0.09908851575864737,-0.029425111797255234,26.028796533184305,119.1938783836048,36.19645735717137,-52.86239108571211,7.790391865305449,16.65605020987978,0.0,0.0,0.0,0.0,0.0,0.0,1.5178574871943686,1.5178574871943686
617.161,83.21500224407731,-177.58237063926228,-0.006260436064792807,0.076428561923478,-0.07271958389946856,-0.029605103295984408,26.028796440422646,119.19387849210364,36.19373956393521,-52.225350773979734,3.5278537436885697,18.483527307348737,0.0,0.0,0.0,0.0,0.0,0.0,1.6264293862645236,1.6264293862645236
617.299,83.22539974689846,-177.58926287661308,-0.008429335428920702,0.07534422334162913,-0.04994374891881643,-0.029764489887490527,26.028796378508623,119.19387859605018,36.19157066457108,-52.461806003218925,3.8173280971117114,13.772987714989572,0.0,0.0,0.0,0.0,0.0,0.0,1.7424936554005968,1.7424936554005968
