# sensor,HMC5883L
# purpose,magnetometer ellipsoid calibration
# sample_hz,20
# duration_s,180
# sda_gpio,21
# scl_gpio,22
# wifi,off
# note,move the board slowly through all 3D orientations
t_ms,mx_raw,my_raw,mz_raw
40300,-34,35,342
40350,-23,35,346
40400,-23,35,346
40450,-18,20,349
40500,-22,11,350
40550,-18,21,348
40600,-18,21,348
40650,-24,43,341
40700,-28,55,337
40750,-42,33,339
40800,-42,33,339
40850,-57,-9,341
40900,-73,-38,339
40950,-87,-54,333
41000,-87,-54,333
41050,-115,-64,321
41100,-137,-83,307
41150,-150,-109,297
41200,-150,-109,297
41251,-153,-133,291
41300,-166,-163,274
41350,-181,-189,253
41400,-181,-189,253
41450,-194,-202,236
41500,-207,-193,224
41550,-215,-182,220
41600,-215,-182,220
41650,-213,-179,223
41700,-210,-185,226
41750,-206,-193,226
41800,-206,-193,226
41850,-203,-204,224
41900,-205,-203,222
41950,-211,-194,220
42000,-211,-194,220
42050,-217,-186,217
42100,-219,-179,220
42150,-219,-174,219
42200,-219,-174,219
42250,-214,-181,221
42300,-201,-191,233
42350,-189,-194,241
42400,-189,-194,241
42451,-177,-202,246
42500,-171,-196,255
42550,-158,-197,266
42600,-158,-197,266
42650,-140,-198,277
42700,-127,-188,289
42750,-127,-188,289
42800,-121,-169,298
42850,-112,-152,308
42900,-98,-140,318
42950,-98,-140,318
43000,-93,-132,321
43050,-83,-133,326
43100,-77,-135,329
43150,-77,-135,329
43200,-84,-143,323
43250,-95,-163,314
43300,-107,-181,303
43350,-107,-181,303
43400,-110,-199,294
43450,-92,-229,291
43500,-49,-277,282
43550,-49,-277,282
43601,-11,-322,263
43650,4,-350,245
43700,3,-367,226
43750,3,-367,226
43800,0,-375,218
43850,12,-393,202
43900,23,-412,178
43950,23,-412,178
44000,21,-427,155
44050,2,-432,139
44100,13,-452,96
44150,13,-452,96
44200,22,-466,59
44250,30,-477,17
44300,42,-482,-38
44350,42,-482,-38
44400,51,-482,-57
44450,71,-480,-56
44500,106,-478,-55
44550,106,-478,-55
44600,146,-473,-59
44650,178,-466,-51
44700,202,-460,-36
44750,202,-460,-36
44800,210,-459,-9
44850,216,-455,26
44900,222,-444,69
44950,222,-444,69
45000,232,-434,100
45050,224,-424,132
45101,202,-425,149
45150,202,-425,149
45200,175,-425,167
45250,149,-432,168
45300,105,-430,181
45350,105,-430,181
45400,44,-426,186
45450,-27,-414,180
45500,-27,-414,180
45550,-93,-398,158
45600,-146,-378,131
45650,-172,-377,92
45700,-172,-377,92
45750,-179,-385,58
45800,-175,-398,18
45850,-163,-412,-21
45900,-163,-412,-21
45950,-140,-415,-61
46000,-85,-385,-88
46050,-45,-396,-79
46101,-45,-396,-79
46150,-2,-401,-79
46200,43,-403,-78
46250,86,-396,-66
46300,86,-396,-66
46350,122,-385,-54
46400,153,-378,-34
46450,176,-370,-11
46500,176,-370,-11
46550,197,-364,13
46600,215,-356,50
46650,223,-343,100
46700,223,-343,100
46750,221,-322,154
46800,207,-297,205
46850,195,-292,250
46900,195,-292,250
46950,189,-272,273
47000,187,-248,296
47050,189,-229,313
47100,189,-229,313
47150,186,-207,326
47200,180,-190,336
47250,165,-178,344
47300,165,-178,344
47350,154,-179,347
47400,126,-176,350
47450,94,-173,352
47500,94,-173,352
47550,55,-175,350
47600,14,-180,342
47650,-28,-178,329
47700,-28,-178,329
47750,-66,-184,311
47801,-107,-203,281
47850,-153,-209,239
47900,-153,-209,239
47950,-194,-210,191
48000,-214,-212,148
48050,-232,-212,105
48100,-232,-212,105
48150,-240,-225,71
48200,-227,-253,44
48250,-227,-253,44
48300,-203,-291,28
48350,-165,-328,15
48400,-118,-361,8
48450,-118,-361,8
48500,-66,-384,6
48550,-15,-397,11
48600,34,-399,25
48650,34,-399,25
48700,75,-392,50
48750,106,-376,91
48800,123,-352,139
48850,123,-352,139
48900,136,-321,185
48950,156,-300,214
49000,165,-292,230
49050,165,-292,230
49100,165,-286,248
49150,164,-277,267
49201,162,-255,290
49250,162,-255,290
49300,166,-230,310
49350,175,-201,325
49400,186,-175,336
49450,186,-175,336
49500,191,-154,345
49550,191,-138,351
49600,179,-130,353
49650,179,-130,353
49700,160,-127,359
49750,140,-126,363
49800,118,-127,363
49850,118,-127,363
49900,92,-137,361
49950,52,-143,356
50000,7,-147,345
50050,7,-147,345
50100,-36,-162,329
50150,-82,-159,308
50200,-130,-159,278
50250,-130,-159,278
50300,-178,-162,233
50350,-211,-148,195
50400,-233,-159,157
50450,-233,-159,157
50500,-247,-171,118
50550,-256,-190,75
50600,-245,-223,46
50650,-245,-223,46
50700,-224,-261,32
50750,-186,-301,32
50800,-142,-338,33
50850,-142,-338,33
50900,-94,-365,32
50950,-48,-380,39
51000,-48,-387,39
51050,-2,-387,60
51100,45,-386,77
51150,90,-378,101
51200,90,-378,101
51250,136,-370,119
51300,167,-357,141
51350,186,-346,157
51400,186,-346,157
51450,197,-328,188
51500,204,-309,214
51550,210,-301,238
51600,210,-301,238
51650,213,-285,264
51700,223,-266,281
51750,237,-240,295
51800,237,-240,295
51851,259,-219,298
51901,281,-194,300
51950,294,-184,300
52000,294,-184,300
52050,279,-183,307
52100,256,-200,321
52150,233,-200,331
52200,233,-200,331
52250,203,-204,337
52300,166,-207,344
52350,120,-220,343
52400,120,-220,343
52450,74,-235,338
52500,33,-234,331
52550,-7,-236,320
52600,-7,-236,320
52650,-45,-240,304
52700,-78,-242,286
52750,-110,-245,265
52800,-110,-245,265
52850,-140,-246,240
52900,-160,-254,216
52950,-174,-268,189
53000,-174,-268,189
53050,-180,-283,170
53101,-182,-297,152
53150,-183,-312,131
53200,-183,-312,131
53250,-174,-333,115
53300,-158,-358,98
53350,-136,-381,87
53400,-136,-381,87
53450,-106,-405,76
53500,-72,-422,72
53550,-30,-440,67
53600,-30,-440,67
53650,15,-451,74
53700,64,-453,84
53750,64,-453,84
53800,109,-450,100
53850,149,-445,111
53900,184,-436,117
53950,184,-436,117
54000,216,-431,117
54050,243,-423,117
54100,259,-416,122
54150,259,-416,122
54200,270,-403,138
54251,276,-391,156
54300,273,-379,177
54350,273,-379,177
54400,264,-367,201
54450,258,-355,218
54500,253,-348,230
54550,253,-348,230
54600,252,-348,230
54650,230,-337,250
54700,197,-329,269
54750,197,-329,269
54800,158,-323,283
54850,130,-323,285
54900,103,-320,289
54950,103,-320,289
55000,66,-300,300
55050,30,-288,303
55100,-7,-292,288
55150,-7,-292,288
55200,-52,-282,277
55250,-96,-275,257
55300,-129,-272,233
55350,-129,-272,233
55400,-152,-280,206
55450,-149,-305,185
55500,-129,-334,177
55550,-129,-334,177
55600,-91,-368,171
55650,-66,-398,148
55700,-39,-429,123
55750,-39,-429,123
55800,1,-462,90
55850,40,-486,40
55900,83,-497,14
55950,83,-497,14
56000,128,-495,7
56050,182,-486,18
56100,232,-463,38
56150,232,-463,38
56200,273,-433,67
56250,300,-411,88
56300,306,-397,102
56350,306,-397,102
56400,314,-378,121
56450,334,-340,150
56500,334,-340,150
56550,341,-308,179
56600,335,-282,208
56650,338,-244,231
56700,338,-244,231
56750,339,-222,243
56801,307,-249,253
56850,264,-296,252
56900,264,-296,252
56950,212,-339,243
57000,149,-373,228
57050,81,-400,207
57100,81,-400,207
57150,13,-420,166
57200,-40,-424,136
57250,-65,-422,125
57300,-65,-422,125
57350,-74,-423,116
57400,-70,-419,131
57450,-79,-408,142
57500,-79,-408,142
57550,-95,-412,122
57600,-95,-432,81
57650,-78,-458,34
57700,-78,-458,34
57750,-31,-479,6
57800,31,-495,3
57850,101,-493,18
57900,101,-493,18
57950,177,-471,60
58000,237,-436,104
58050,275,-393,140
58100,275,-393,140
58150,289,-357,176
58200,298,-310,215
58250,306,-249,252
58300,306,-249,252
58350,308,-164,286
58400,310,-46,300
58450,293,77,284
58500,293,77,284
58550,269,186,237
58600,257,264,156
58650,260,305,59
58700,260,305,59
58750,259,319,-29
58800,281,304,-83
58850,322,270,-114
58900,322,270,-114
58950,357,237,-124
59000,388,212,-108
59050,413,189,-62
59100,413,189,-62
59151,428,168,-19
59201,437,148,25
59250,436,131,67
59300,436,131,67
59350,424,124,113
