# purpose,gyroscope bias and Allan deviation
# sample_hz,50
# duration_s,1800
# sda_gpio,21
# scl_gpio,22
# i2c_freq,400000
# gyro_full_scale,+-250 dps
# accel_full_scale,+-2 g
# dlpf_cfg,3
# wifi,off
# note,keep the board completely still
t_ms,ax_g,ay_g,az_g,temp_c,gx_dps,gy_dps,gz_dps
4940,-0.035645,0.011230,1.022461,42.792,0.267176,0.862595,-0.190840
4960,-0.033447,0.012207,1.031006,42.809,0.290076,0.877863,-0.145038
4980,-0.034912,0.014160,1.023193,42.795,0.236641,1.076336,-0.030534
5000,-0.033691,0.013916,1.025146,42.839,0.328244,1.030534,-0.030534
5020,-0.034180,0.013672,1.021484,42.762,0.274809,1.007634,-0.106870
5040,-0.036621,0.014160,1.030273,42.804,0.213740,1.022901,-0.183206
5060,-0.033691,0.015381,1.026611,42.809,0.167939,0.969466,-0.099237
5080,-0.035156,0.016113,1.030762,42.806,0.213740,1.030534,0.022901
5100,-0.034668,0.013184,1.020020,42.833,0.282443,1.015267,-0.221374
5120,-0.033447,0.011719,1.018311,42.801,0.251908,0.961832,-0.122137
5140,-0.036865,0.011963,1.024414,42.806,0.221374,0.961832,-0.175573
5160,-0.034668,0.014648,1.024414,42.777,0.183206,0.977099,-0.053435
5180,-0.034912,0.011475,1.027832,42.815,0.251908,0.961832,-0.160305
5200,-0.031738,0.014160,1.026367,42.812,0.160305,0.977099,-0.091603
5220,-0.031738,0.013184,1.015137,42.783,0.198473,0.992366,-0.106870
5240,-0.035889,0.010254,1.026123,42.821,0.267176,0.847328,-0.076336
5260,-0.032959,0.014893,1.024902,42.827,0.251908,1.106870,-0.145038
5280,-0.036377,0.011719,1.024414,42.806,0.244275,0.946565,-0.129771
5300,-0.032715,0.010254,1.029297,42.821,0.190840,0.946565,-0.145038
5320,-0.033936,0.012939,1.027344,42.809,0.129771,1.045802,-0.145038
5341,-0.031982,0.014893,1.022705,42.798,0.206107,0.946565,-0.114504
5361,-0.034180,0.012451,1.027100,42.830,0.320611,0.893130,-0.061069
5380,-0.035889,0.015137,1.026367,42.786,0.213740,0.877863,-0.053435
5400,-0.034668,0.014893,1.030762,42.821,0.312977,0.946565,-0.091603
5420,-0.033936,0.010254,1.024902,42.806,0.221374,0.961832,-0.099237
5440,-0.034424,0.012451,1.020752,42.804,0.167939,1.091603,-0.175573
5460,-0.034424,0.013184,1.021729,42.830,0.213740,0.984733,-0.160305
5480,-0.032715,0.020996,1.023438,42.806,0.198473,0.992366,-0.236641
5500,-0.038330,0.010010,1.029541,42.789,0.312977,0.885496,-0.076336
5520,-0.031250,0.014893,1.022461,42.783,0.190840,0.969466,-0.229008
5540,-0.035889,0.012207,1.023926,42.821,0.206107,1.053435,-0.083969
5560,-0.034180,0.011230,1.022949,42.821,0.236641,0.961832,-0.152672
5580,-0.037842,0.009766,1.024658,42.804,0.129771,0.954198,-0.091603
5600,-0.034180,0.013916,1.026611,42.798,0.244275,1.022901,-0.068702
5620,-0.036133,0.014648,1.022705,42.815,0.198473,1.061069,0.000000
5640,-0.039307,0.011719,1.020508,42.765,0.183206,1.053435,-0.083969
5660,-0.032471,0.014893,1.025879,42.804,0.305344,0.870229,-0.053435
5680,-0.035889,0.014648,1.020020,42.798,0.190840,0.938931,-0.145038
5700,-0.034912,0.012939,1.023926,42.804,0.175573,1.007634,-0.106870
5720,-0.034180,0.012451,1.026855,42.798,0.167939,1.038168,-0.213740
5740,-0.029053,0.012451,1.023438,42.780,0.221374,0.984733,-0.129771
5760,-0.037598,0.010498,1.025146,42.801,0.229008,1.152672,-0.213740
5780,-0.036621,0.014648,1.025146,42.795,0.206107,0.916031,-0.145038
5800,-0.037354,0.017822,1.023926,42.795,0.167939,1.083969,-0.053435
5820,-0.034424,0.012207,1.027344,42.798,0.229008,1.000000,-0.137405
5840,-0.036621,0.011475,1.026611,42.812,0.190840,0.969466,-0.106870
5860,-0.035400,0.012451,1.018066,42.809,0.259542,0.969466,-0.183206
5880,-0.034912,0.009277,1.026611,42.836,0.236641,0.946565,-0.122137
5901,-0.036621,0.012695,1.022949,42.795,0.137405,0.923664,-0.183206
5920,-0.033691,0.014404,1.028564,42.792,0.221374,0.923664,-0.167939
5940,-0.035889,0.009521,1.022461,42.827,0.244275,0.984733,-0.114504
5960,-0.036133,0.011230,1.022217,42.809,0.106870,1.114504,-0.099237
5980,-0.035400,0.015625,1.024170,42.806,0.221374,1.007634,-0.114504
6000,-0.033447,0.010498,1.022217,42.789,0.221374,0.969466,-0.129771
6020,-0.032471,0.011230,1.023926,42.804,0.190840,1.137405,-0.244275
6040,-0.036377,0.013428,1.031982,42.806,0.274809,0.992366,-0.068702
6060,-0.038574,0.017822,1.029785,42.798,0.251908,0.961832,-0.007634
6080,-0.033203,0.014648,1.030029,42.815,0.221374,1.068702,-0.091603
6100,-0.032959,0.009521,1.026611,42.792,0.251908,0.946565,-0.022901
6120,-0.036865,0.011475,1.024414,42.806,0.183206,0.885496,-0.076336
6140,-0.032959,0.013428,1.025391,42.809,0.251908,1.000000,-0.145038
