sample,elapsed_s,temp_c
1037,103.700,32.000
1038,103.800,32.000
1039,103.900,31.000
1040,104.001,32.000
1041,104.100,32.000
1042,104.201,32.000
1043,104.300,32.000
1044,104.400,32.000
1045,104.501,32.000
1046,104.601,31.000
1047,104.700,32.000
1048,104.800,32.000
1049,104.900,32.000
1050,105.001,32.000
1051,105.100,32.000
1052,105.200,32.000
1053,105.300,32.000
1054,105.401,32.000
1055,105.500,32.000
1056,105.600,32.000
1057,105.700,32.000
1058,105.801,32.000
1059,105.900,32.000
1060,106.000,32.000
1061,106.100,32.000
1062,106.200,32.000
1063,106.300,32.000
1064,106.401,32.000
1065,106.500,32.000
1066,106.600,32.000
1067,106.700,32.000
1068,106.801,32.000
1069,106.900,32.000
1070,107.000,32.000
1071,107.101,32.000
1072,107.201,32.000
1073,107.300,32.000
1074,107.400,32.000
1075,107.500,32.000
1076,107.601,32.000
1077,107.700,32.000
1078,107.800,32.000
1079,107.900,32.000
1080,108.000,32.000
1081,108.100,32.000
1082,108.200,32.000
1083,108.300,32.000
1084,108.400,32.000
1085,108.500,32.000
1086,108.601,32.000
1087,108.700,32.000
1088,108.801,32.000
1089,108.900,32.000
1090,109.001,32.000
1091,109.100,32.000
1092,109.201,32.000
1093,109.300,32.000
1094,109.400,32.000
1095,109.500,31.000
1096,109.601,32.000
1097,109.700,32.000
1098,109.800,32.000
1099,109.900,32.000
1100,110.000,32.000
1101,110.101,32.000
1102,110.200,32.000
1103,110.300,32.000
1104,110.400,32.000
1105,110.500,32.000
1106,110.601,32.000
1107,110.700,32.000
1108,110.800,32.000
1109,110.900,32.000
1110,111.001,32.000
1111,111.100,32.000
1112,111.200,32.000
1113,111.300,32.000
1114,111.401,32.000
1115,111.500,32.000
1116,111.600,32.000
1117,111.700,32.000
1118,111.800,32.000
1119,111.901,32.000
1120,112.000,32.000
1121,112.101,32.000
1122,112.201,32.000
1123,112.300,32.000
1124,112.400,32.000
1125,112.500,32.000
1126,112.600,32.000
1127,112.700,32.000
1128,112.800,32.000
1129,112.900,32.000
1130,113.000,32.000
1131,113.101,32.000
1132,113.200,32.000
1133,113.300,32.000
1134,113.401,32.000
1135,113.500,32.000
1136,113.601,32.000
1137,113.700,32.000
1138,113.800,32.000
1139,113.900,32.000
1140,114.001,32.000
1141,114.100,32.000
1142,114.201,32.000
1143,114.300,32.000
1144,114.400,32.000
1145,114.500,32.000
1146,114.601,32.000
1147,114.700,32.000
1148,114.800,32.000
1149,114.900,32.000
1150,115.000,32.000
1151,115.100,31.000
1152,115.201,32.000
1153,115.300,32.000
1154,115.401,32.000
1155,115.500,32.000
1156,115.600,32.000
1157,115.700,32.000
1158,115.800,32.000
1159,115.900,32.000
1160,116.000,32.000
1161,116.101,32.000
1162,116.200,32.000
1163,116.300,32.000
1164,116.401,32.000
1165,116.500,32.000
1166,116.601,32.000
1167,116.700,32.000
1168,116.800,32.000
1169,116.900,32.000
1170,117.000,32.000
1171,117.100,32.000
1172,117.201,32.000
1173,117.300,32.000
1174,117.401,32.000
1175,117.500,32.000
1176,117.600,32.000
1177,117.700,32.000
1178,117.801,32.000
1179,117.900,32.000
1180,118.000,32.000
1181,118.100,32.000
1182,118.200,32.000
1183,118.300,32.000
1184,118.400,32.000
1185,118.500,32.000
1186,118.600,32.000
1187,118.701,32.000
1188,118.800,32.000
1189,118.901,32.000
1190,119.000,32.000
1191,119.100,32.000
1192,119.201,32.000
1193,119.300,32.000
1194,119.400,32.000
1195,119.500,32.000
1196,119.601,32.000
1197,119.700,32.000
1198,119.800,32.000
1199,119.900,32.000
1200,120.000,32.000
1201,120.101,32.000
1202,120.200,32.000
1203,120.300,32.000
1204,120.400,32.000
1205,120.500,32.000
1206,120.600,32.000
1207,120.700,32.000
1208,120.800,32.000
1209,120.900,32.000
1210,121.000,32.000
1211,121.101,32.000
1212,121.200,32.000
1213,121.300,32.000
1214,121.400,32.000
1215,121.500,32.000
1216,121.601,32.000
1217,121.700,32.000
1218,121.800,32.000
1219,121.900,32.000
1220,122.000,32.000
1221,122.101,32.000
1222,122.201,32.000
1223,122.300,32.000
1224,122.401,32.000
1225,122.500,32.000
1226,122.600,32.000
1227,122.700,32.000
1228,122.800,32.000
1229,122.900,32.000
1230,123.000,32.000
1231,123.101,32.000
1232,123.201,32.000
1233,123.301,32.000
1234,123.400,32.000
1235,123.500,32.000
1236,123.600,32.000
1237,123.700,32.000
1238,123.800,32.000
1239,123.900,32.000
1240,124.000,32.000
1241,124.100,32.000
1242,124.200,32.000
1243,124.300,32.000
1244,124.400,32.000
1245,124.500,32.000
1246,124.601,32.000
1247,124.700,32.000
1248,124.800,32.000
1249,124.900,32.000
1250,125.001,32.000
1251,125.100,32.000
1252,125.200,32.000
1253,125.300,32.000
1254,125.400,32.000
1255,125.500,32.000
1256,125.600,32.000
1257,125.700,32.000
1258,125.800,32.000
1259,125.900,32.000
1260,126.000,32.000
1261,126.100,32.000
1262,126.200,32.000
1263,126.300,32.000
1264,126.400,32.000
1265,126.500,32.000
1266,126.600,32.000
1267,126.700,32.000
1268,126.800,32.000
1269,126.900,32.000
1270,127.000,32.000
1271,127.100,32.000
1272,127.201,32.000
1273,127.300,32.000
1274,127.400,32.000
1275,127.501,32.000
1276,127.600,32.000
1277,127.700,32.000
1278,127.800,32.000
1279,127.900,32.000
1280,128.001,32.000
1281,128.100,32.000
1282,128.201,32.000
1283,128.300,32.000
1284,128.401,32.000
1285,128.500,32.000
1286,128.601,32.000
1287,128.700,32.000
1288,128.800,32.000
1289,128.900,32.000
1290,129.000,32.000
1291,129.101,32.000
1292,129.201,32.000
1293,129.300,32.000
1294,129.401,32.000
1295,129.500,32.000
1296,129.600,32.000
1297,129.700,32.000
1298,129.800,32.000
1299,129.900,32.000
1300,130.000,32.000
1301,130.100,32.000
1302,130.200,32.000
1303,130.300,32.000
1304,130.400,32.000
1305,130.500,32.000
1306,130.600,32.000
1307,130.700,32.000
1308,130.800,32.000
1309,130.900,32.000
1310,131.000,32.000
1311,131.292,32.000
1312,131.359,32.000
1313,131.365,32.000
1314,131.401,32.000
1315,131.500,32.000
1316,131.600,32.000
1317,131.700,32.000
1318,131.800,32.000
1319,131.900,32.000
1320,132.000,32.000
1321,132.100,32.000
1322,132.200,32.000
1323,132.301,32.000
1324,132.400,32.000
1325,132.500,32.000
1326,132.600,32.000
1327,132.701,32.000
1328,132.800,32.000
1329,132.900,32.000
1330,133.000,32.000
1331,133.100,32.000
1332,133.200,32.000
1333,133.300,32.000
1334,133.400,32.000
1335,133.500,32.000
1336,133.600,32.000
1337,133.700,32.000
1338,133.800,32.000
1339,133.900,32.000
1340,134.001,32.000
1341,134.100,32.000
1342,134.200,32.000
1343,134.300,32.000
1344,134.400,32.000
1345,134.501,32.000
1346,134.600,32.000
1347,134.700,32.000
1348,134.800,32.000
1349,134.900,32.000
1350,135.000,32.000
1351,135.100,32.000
1352,135.200,32.000
1353,135.301,32.000
1354,135.400,32.000
1355,135.500,32.000
1356,135.600,32.000
1357,135.700,32.000
1358,135.800,32.000
