t_ms,ax_g,ay_g,az_g,temp_c,gx_dps,gy_dps,gz_dps,acc_norm_g,acc_norm_error_mg
4860.0,-0.067383,0.006836,1.021484,43.871,0.244275,0.984733,-0.114504,1.02372690,23.7269
4880.0,-0.063477,0.006836,1.024902,43.868,0.183206,0.984733,-0.091603,1.02688859,26.8886
4900.0,-0.061523,0.005371,1.023438,43.874,0.206107,0.923664,-0.022901,1.02529960,25.2996
4920.0,-0.065186,0.006592,1.026855,43.874,0.305344,0.969466,-0.175573,1.02894308,28.9431
4940.0,-0.059326,0.00708,1.025635,43.877,0.21374,0.969466,-0.152672,1.02737377,27.3738
4960.0,-0.063232,0.01001,1.02002,43.886,0.206107,1.022901,-0.061069,1.02202705,22.0270
4980.0,-0.066162,0.006104,1.020996,43.862,0.152672,0.969466,-0.083969,1.02315566,23.1557
5000.0,-0.062256,0.005371,1.024902,43.877,0.183206,1.038168,-0.122137,1.02680513,26.8051
5020.0,-0.064453,0.004883,1.019287,43.871,0.251908,0.938931,-0.091603,1.02133443,21.3344
5040.0,-0.060059,0.007568,1.026855,43.868,0.221374,1.053435,-0.076336,1.02863772,28.6377
5060.0,-0.064697,0.011475,1.02124,43.877,0.267176,0.961832,-0.129771,1.02335161,23.3516
5081.0,-0.0625,0.00708,1.018799,43.874,0.145038,1.030534,-0.083969,1.02073884,20.7388
5101.0,-0.063232,0.010986,1.020996,43.865,0.290076,1.015267,-0.114504,1.02301115,23.0111
5120.0,-0.062012,0.00708,1.017578,43.859,0.305344,0.977099,-0.183206,1.01949036,19.4904
5140.0,-0.063232,0.01123,1.025391,43.848,0.183206,1.114504,-0.175573,1.02740017,27.4002
5160.0,-0.060303,0.009521,1.021973,43.88,0.236641,1.0,-0.083969,1.02379486,23.7949
5180.0,-0.064209,0.013672,1.023682,43.877,0.19084,0.954198,-0.236641,1.02578485,25.7848
5200.0,-0.064697,0.009277,1.025635,43.856,0.259542,1.038168,-0.10687,1.02771539,27.7154
5220.0,-0.061035,0.009766,1.022217,43.83,0.236641,0.954198,-0.236641,1.02408410,24.0841
5240.0,-0.070313,0.009033,1.018799,43.874,0.198473,0.977099,-0.122137,1.02126241,21.2624
