phase,t_s,temp_c,comp_roll,comp_pitch,comp_yaw,mahony_roll,mahony_pitch,mahony_yaw,madgwick_roll,madgwick_pitch,madgwick_yaw
shake_return_level,132.18,43.686,1.0910821102414634,-43.72792119549094,63.142063403891825,0.9597371706892717,-43.65187393719316,-120.09122725676998,4.188609664617234,-47.69341511157942,156.50921541742707
shake_return_level,132.2,43.698,1.2575897418023045,-44.56554013440104,65.39084556929119,1.0898489412635766,-45.0027156738743,-126.02695825620307,4.17936290609209,-48.43281500486094,156.73846361624877
shake_return_level,132.22,43.706,1.3629457324477345,-44.95552223234675,67.5246494247609,1.1852685621803918,-45.91961382047286,-131.58318988110295,4.1406111155217715,-48.70484349226408,156.91965913634775
shake_return_level,132.24,43.715,1.4028008121285773,-44.78004204037783,69.49828882045345,1.3012529976889167,-46.28424755523679,-136.96807270765655,4.051774200629007,-48.39155291021485,157.0516167195591
shake_return_level,132.26,43.683,1.2973578276653785,-44.01756794293456,71.47273456638975,1.0651954675415134,-45.89151101070078,-141.58998363613145,3.859042152943265,-47.520298668596766,157.18675026939215
shake_return_level,132.28,43.704,1.20211763669966,-42.83046188139018,73.29983581506062,0.938515852043274,-44.94263709317087,-146.26789103472623,3.6112497574885096,-46.248200962198716,157.35784123096767
shake_return_level,132.301,43.706,1.0738025763744024,-41.186635746072014,75.06915417462245,0.755222713989665,-43.45836324377684,-150.63996237044648,3.3036996589012895,-44.51445974775996,157.56055198818007
shake_return_level,132.32,43.677,0.9535373239252909,-39.43072197671514,76.97415072127086,0.6275423092661337,-41.70926999169067,-153.97640495443997,3.059975948631687,-42.639621328634234,157.71745781540523
shake_return_level,132.34,43.689,0.8160267837698602,-37.42641650227362,78.7904971221806,0.4811438813022085,-39.62456486587802,-157.23935589848602,2.8180004310250175,-40.537871959140325,157.85760207719346
shake_return_level,132.361,43.677,0.6831489803958797,-35.26397840985579,80.23065099459177,0.35980667327112026,-37.21529902745161,-161.60633591891195,2.5983494598290147,-38.32868736363971,157.97718325421664
shake_return_level,132.38,43.68,0.5629749160312558,-33.38376394855433,83.60958108857227,0.24024147618402344,-35.131152731406054,-157.7705732007211,2.440499217388105,-36.395748520363306,158.0614242612101
shake_return_level,132.4,43.692,0.4500922382057683,-31.447579265010695,80.3900088161786,0.15455701847751332,-32.98145198470699,-151.54812169751713,2.2906814609476065,-34.410274969165144,158.133582217846
shake_return_level,132.42,43.721,0.3451845295766634,-29.583703976099862,78.11964650572254,0.08443438198888863,-30.737757376820745,-142.28794137631334,2.1490159797357395,-32.558456457387045,158.1979530803564
